albeit	obschon
hoax	Täuschung 
issuer	Aussteller, Herausgeber
trite	banal, abgedroschen
temerity	Frechheit, Dreistigkeit
uncanny	unheimlich, verblüffend
to belittle	kleinreden, schmälern, herabsetzen
discernible	erkennbar
alleviate	lindern
gelatinous	geleeartig
to pucker up lips	den Mund verziehen
boon	Segen, Wohltat, Gabe
divination	Wahrsagung, Hellsehen
contingent	bedingt, eventuell, möglich, ungewiss
ulcer	Geschwür
fallibility	fehlbarkeit
propensity	Neigung, Tendenz
reaping	erntend
burgeoning	aufkeimend
appraising	bewertend, schätzend
bifurcate	gegabelt, gabeln
venue	Veranstaltungsort, Tagungsort, Anlaufpunkt
to devise	entwickeln, erfinden, ersinnen
brevity	Kürze, Knappheit
understudy	Stellvertreter
proceedings	Berichte, Protokolle
epistemology	Erkenntnistheorie
malleable	formbar, biegsam, dehnbar
menace	Bedrohung
onerous	beschwerlich, mühsam
frailty	Schwäche, Zerbrechlichkeit, Hinfälligkeit
inadvertently	unbeabsichtigt, aus Versehen
spurious	fadenscheinig, unecht, störend
veil	Schleier
to fret	ärgern, beunruhigen, sich Sorgen machen
ancestor	Vorgänger, Vorfahre
brittle	brüchig, spröde, morsch
confounding	verwirrend, verwechselnd
pidgin	Kauderwelsch
to abstain	sich zurückhalten
ilk	Sorte
hooch	Fusel
to vanquish	besiegen, bezwingen
confine	Grenze
pristine	makellos, unberührt
to hone	verbessern, verfeinern
to scrutinize	untersuchen, hinterfragen
disclosure	Enthüllung
squanderer	Verschwender
foray	Vorstoß
to cram	stopfen
to wade	waten
